Song ID,Artist,Genre,Tempo (BPM),Danceability
Song_1,Post Malone,Jazz,103,0.31
Song_2,Ed Sheeran,Rock,175,0.44
Song_3,The Weeknd,Hip-Hop,159,0.57
Song_4,Justin Bieber,R&B,113,0.27
Song_5,Ed Sheeran,R&B,141,0.76
Song_6,Post Malone,Hip-Hop,136,0.31
Song_7,Adele,Electronic,85,0.75
Song_8,Billie Eilish,Hip-Hop,190,0.18
Song_9,Rihanna,R&B,99,0.56
Song_10,Adele,Electronic,130,0.75
Song_11,Beyoncé,Country,159,0.81
Song_12,Billie Eilish,Hip-Hop,176,0.38
Song_13,The Weeknd,Rock,193,0.13
Song_14,Ed Sheeran,Indie,176,0.25
Song_15,Ed Sheeran,Jazz,167,0.65
Song_16,Beyoncé,Indie,141,0.61
Song_17,Post Malone,Country,91,0.68
Song_18,Post Malone,Hip-Hop,71,0.58
Song_19,Ed Sheeran,Country,175,0.83
Song_20,Drake,Electronic,111,0.68
Song_21,Justin Bieber,Classical,162,0.13
Song_22,Taylor Swift,Jazz,103,0.8
Song_23,Billie Eilish,Rock,139,0.27
Song_24,Post Malone,Rock,92,0.73
Song_25,Justin Bieber,R&B,179,0.64
Song_26,Justin Bieber,Pop,156,0.49
Song_27,Post Malone,Indie,151,0.39
Song_28,Post Malone,Rock,164,0.36
Song_29,Rihanna,Country,73,0.87
Song_30,Billie Eilish,Reggae,169,0.63
Song_31,Beyoncé,Rock,159,0.83
Song_32,Taylor Swift,Reggae,105,0.42
Song_33,Rihanna,Hip-Hop,171,0.86
Song_34,Drake,Indie,98,0.56
Song_35,Ed Sheeran,Classical,103,0.74
Song_36,Adele,R&B,140,0.61
Song_37,Justin Bieber,Rock,78,0.56
Song_38,Justin Bieber,Country,148,0.19
Song_39,Justin Bieber,Pop,143,0.31
Song_40,Billie Eilish,Rock,149,0.16
Song_41,Ed Sheeran,Jazz,125,0.63
Song_42,Justin Bieber,Reggae,61,0.61
Song_43,Beyoncé,Classical,157,0.12
Song_44,Billie Eilish,Country,182,0.96
Song_45,Drake,Classical,135,0.38
Song_46,Beyoncé,Rock,195,0.63
Song_47,Ed Sheeran,Electronic,170,0.52
Song_48,Adele,Rock,81,0.35
Song_49,Rihanna,Rock,72,0.76
Song_50,Post Malone,Pop,155,0.29
Song_51,Post Malone,R&B,161,0.36
Song_52,Post Malone,R&B,80,0.69
Song_53,Post Malone,Reggae,75,0.91
Song_54,Justin Bieber,Pop,128,0.57
Song_55,Justin Bieber,R&B,124,0.53
Song_56,Justin Bieber,Pop,142,0.24
Song_57,Adele,Electronic,88,0.52
Song_58,Billie Eilish,Country,85,0.21
Song_59,Post Malone,R&B,91,0.17
Song_60,Beyoncé,Country,113,0.32
Song_61,Drake,Pop,66,0.65
Song_62,Adele,Electronic,76,0.18
Song_63,Rihanna,Electronic,136,0.4
Song_64,Post Malone,Hip-Hop,171,0.94
Song_65,Adele,Electronic,114,0.52
Song_66,The Weeknd,Classical,65,0.84
Song_67,Ed Sheeran,R&B,160,0.22
Song_68,Beyoncé,Hip-Hop,180,0.49
Song_69,Justin Bieber,Jazz,194,0.35
Song_70,Adele,Pop,162,0.12
Song_71,Billie Eilish,Hip-Hop,133,0.18
Song_72,Ed Sheeran,Hip-Hop,129,0.99
Song_73,Rihanna,Reggae,170,0.94
Song_74,Post Malone,Electronic,81,0.4
Song_75,Taylor Swift,Classical,198,0.37
Song_76,Taylor Swift,Indie,160,0.38
Song_77,Post Malone,Reggae,130,0.36
Song_78,The Weeknd,Classical,69,0.86
Song_79,Justin Bieber,R&B,151,0.42
Song_80,Billie Eilish,Hip-Hop,69,0.2
Song_81,Justin Bieber,Electronic,83,0.67
Song_82,Rihanna,Pop,82,0.14
Song_83,Taylor Swift,Jazz,123,0.33
Song_84,Drake,Pop,99,1.0
Song_85,Rihanna,Rock,115,0.2
Song_86,Adele,Indie,159,0.77
Song_87,Ed Sheeran,Classical,123,0.57
Song_88,Ed Sheeran,Hip-Hop,63,0.41
Song_89,Justin Bieber,Electronic,121,0.65
Song_90,Ed Sheeran,Reggae,124,0.63
Song_91,Taylor Swift,Electronic,171,0.51
Song_92,Ed Sheeran,Classical,100,0.81
Song_93,Drake,Hip-Hop,95,0.71
Song_94,Adele,R&B,156,0.27
Song_95,The Weeknd,Rock,97,0.16
Song_96,Adele,Electronic,198,0.27
Song_97,Post Malone,Country,86,0.31
Song_98,Beyoncé,Electronic,168,0.8
Song_99,Beyoncé,Rock,83,0.54
Song_100,Taylor Swift,R&B,74,0.16
Song_101,Adele,Jazz,151,0.92
Song_102,Beyoncé,Electronic,134,0.34
Song_103,Beyoncé,Rock,77,0.6
Song_104,Drake,Reggae,96,0.37
Song_105,Drake,Jazz,199,0.84
Song_106,Ed Sheeran,Pop,161,0.4
Song_107,Rihanna,Rock,114,0.57
Song_108,Billie Eilish,Indie,189,0.5
Song_109,The Weeknd,Pop,61,0.42
Song_110,Ed Sheeran,Country,97,0.66
Song_111,The Weeknd,Jazz,175,0.92
Song_112,Billie Eilish,Country,81,0.87
Song_113,The Weeknd,Classical,71,0.49
Song_114,Justin Bieber,Reggae,161,0.36
Song_115,Justin Bieber,Jazz,146,0.19
Song_116,Justin Bieber,Reggae,82,0.2
Song_117,Taylor Swift,Reggae,78,0.39
Song_118,Billie Eilish,Pop,64,0.23
Song_119,Adele,R&B,65,0.14
Song_120,Post Malone,Electronic,183,0.14
Song_121,Beyoncé,Indie,73,0.68
Song_122,Post Malone,Hip-Hop,117,0.9
Song_123,Rihanna,Indie,83,0.71
Song_124,Rihanna,Reggae,94,0.32
Song_125,Drake,Country,123,0.98
Song_126,The Weeknd,Rock,187,0.5
Song_127,Post Malone,Classical,126,0.58
Song_128,Billie Eilish,Rock,102,0.55
Song_129,Justin Bieber,Rock,147,0.46
Song_130,Rihanna,Classical,186,0.51
Song_131,Taylor Swift,Jazz,97,0.97
Song_132,The Weeknd,Rock,148,0.33
Song_133,Adele,Jazz,149,0.15
Song_134,Taylor Swift,Rock,176,0.92
Song_135,Post Malone,Reggae,107,0.85
Song_136,Adele,R&B,84,0.17
Song_137,Billie Eilish,Classical,72,0.51
Song_138,Beyoncé,Electronic,180,0.32
Song_139,Drake,Jazz,154,0.55
Song_140,Rihanna,Hip-Hop,153,0.96
Song_141,Taylor Swift,Indie,180,0.11
Song_142,Justin Bieber,Rock,168,0.27
Song_143,Taylor Swift,Pop,97,0.41
Song_144,Post Malone,Pop,126,0.35
Song_145,Ed Sheeran,Pop,128,0.22
Song_146,Taylor Swift,Rock,191,0.16
Song_147,Billie Eilish,Indie,79,0.83
Song_148,The Weeknd,Country,177,0.75
Song_149,Post Malone,R&B,165,0.4
Song_150,Post Malone,R&B,126,0.61
Song_151,Drake,Electronic,107,0.29
Song_152,Adele,Indie,72,0.61
Song_153,Justin Bieber,Country,83,0.39
Song_154,Ed Sheeran,Indie,116,0.5
Song_155,Drake,Indie,152,0.44
Song_156,Justin Bieber,Reggae,135,0.15
Song_157,Taylor Swift,Country,95,0.58
Song_158,Ed Sheeran,Jazz,97,0.6
Song_159,Billie Eilish,Reggae,113,0.32
Song_160,Ed Sheeran,Indie,183,0.73
Song_161,The Weeknd,Jazz,172,0.53
Song_162,Taylor Swift,Rock,91,0.87
Song_163,Drake,Hip-Hop,96,0.46
Song_164,Taylor Swift,Electronic,124,0.12
Song_165,Billie Eilish,Jazz,61,0.98
Song_166,Drake,Reggae,82,0.73
Song_167,Drake,Jazz,113,0.15
Song_168,Billie Eilish,Country,95,0.17
Song_169,Rihanna,Electronic,130,0.56
Song_170,Adele,Electronic,195,0.24
Song_171,Taylor Swift,Jazz,68,1.0
Song_172,The Weeknd,Reggae,174,0.24
Song_173,Post Malone,R&B,88,0.2
Song_174,Billie Eilish,Pop,102,0.34
Song_175,Drake,R&B,154,0.7
Song_176,Drake,Indie,125,0.94
Song_177,Post Malone,Reggae,162,0.71
Song_178,Rihanna,Rock,197,0.14
Song_179,Adele,Hip-Hop,105,0.48
Song_180,Drake,Jazz,145,0.79
Song_181,Taylor Swift,Country,126,0.98
Song_182,Drake,Jazz,92,0.42
Song_183,Taylor Swift,Country,194,0.67
Song_184,Beyoncé,Pop,95,0.39
Song_185,Ed Sheeran,R&B,181,0.65
Song_186,Billie Eilish,Reggae,142,0.77
Song_187,Adele,Classical,181,0.65
Song_188,Beyoncé,Indie,74,0.36
Song_189,Billie Eilish,Jazz,183,0.63
Song_190,Beyoncé,Rock,159,0.56
Song_191,The Weeknd,R&B,91,0.84
Song_192,Adele,Reggae,169,0.38
Song_193,Justin Bieber,R&B,98,0.79
Song_194,Beyoncé,Country,185,0.7
Song_195,The Weeknd,R&B,163,0.28
Song_196,Post Malone,Hip-Hop,66,0.41
Song_197,Rihanna,Reggae,110,0.88
Song_198,Justin Bieber,Country,94,0.74
Song_199,Rihanna,Indie,76,0.11
Song_200,Ed Sheeran,Pop,195,0.93
